"Ano","Mês","Berço","Tipo da instalação","Terminal","Perfil da carga","Tipo de operação","Navegação","Sentido da carga","Carga","Toneladas","TEUs","Unidades"
"2019","01","SABOO 1","PORTO ORGANIZADO","DEICMAR","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",2182.192,0.0,482.0
"2019","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",6.98,0.0,1.0
"2019","01","ARM 15","PORTO ORGANIZADO","SUZANO (VCP - ARM 13/14/15)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",53604.0,0.0,26802.0
"2019","01","CORTE","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",1574.474,0.0,517.0
"2019","01","ARM 30","PORTO ORGANIZADO","SUZANO (ARM 32)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",2000.0,0.0,1000.0
"2019","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",1290.4089999999999,0.0,886.0
"2019","01","SABOO 2","PORTO ORGANIZADO","RODRIMAR","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",5.626,0.0,3.0
"2019","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","TRANSBORDO","LONGO CURSO","EMBARQUE","VEÍCULOS",20.6,0.0,11.0
"2019","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",37.561,0.0,2.0
"2019","01","USIMINAS 3","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",18965.010000000002,0.0,1416.0
"2019","01","SABOO 1","PORTO ORGANIZADO","LOCALFRIO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",93.6,0.0,18.0
"2019","02","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",13071.006000000001,0.0,12014.0
"2019","02","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",3264.1569999999997,0.0,304.0
"2019","02","TECON 2","PORTO ORGANIZADO","SANTOS BRASIL","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",205.0,0.0,1.0
"2019","02","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",6.06,0.0,1.0
"2019","02","TEV","PORTO ORGANIZADO","SANTOS BRASIL","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",177.66,0.0,14.0
"2019","02","VALONGO","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",513.914,0.0,19.0
"2019","02","ARM 30","PORTO ORGANIZADO","NST","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",47024.791,0.0,23459.0
"2019","02","SABOO 2","PORTO ORGANIZADO","RODRIMAR","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",531.356,0.0,174.0
"2019","02","VALONGO","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",27.8,0.0,1.0
"2019","02","VALONGO","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",575.603,0.0,482.0
"2019","03","ARM 30","PORTO ORGANIZADO","NST","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",92423.016,0.0,46186.0
"2019","03","ARM 32","PORTO ORGANIZADO","OUTROS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",12028.0,0.0,6014.0
"2019","03","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",3101.735,0.0,1867.0
"2019","03","USIMINAS 3","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","CABOTAGEM","DESEMBARQUE","OUTRAS MERCADORIAS",34228.293,0.0,1582.0
"2019","03","ARM 29","PORTO ORGANIZADO","OUTROS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",30.817,0.0,60.0
"2019","03","DP WORLD 1","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",7184.568,0.0,4472.0
"2019","03","ARM 32","PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",204.0,0.0,102.0
"2019","04","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",3108.85,0.0,1813.0
"2019","04","ARM 32","PORTO ORGANIZADO","SUZANO (ARM 32)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",81854.0,0.0,40927.0
"2019","04","SABOO 1","PORTO ORGANIZADO","RODRIMAR","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",24.185,0.0,6.0
"2019","04","CORTE","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",443.74,0.0,27.0
"2019","04","ARM 29","PORTO ORGANIZADO","OUTROS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",93.156,0.0,38.0
"2019","04","ARM 29","PORTO ORGANIZADO","OUTROS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","PARTES/MOTORES/GERADORES/PÁS EÓL",316.791,0.0,94.0
