"Ano","Mês","Berço","Tipo da instalação","Terminal","Perfil da carga","Tipo de operação","Navegação","Sentido da carga","Carga","Toneladas","TEUs","Unidades"
"2021","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",1028.95,0.0,73.0
"2021","01","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",1724.912,0.0,601.0
"2021","01","USIMINAS 4","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","CABOTAGEM","DESEMBARQUE","OUTRAS MERCADORIAS",42465.932,0.0,2586.0
"2021","02","DP WORLD 3","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",96110.0,0.0,48055.0
"2021","02","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",9460.127,0.0,855.0
"2021","02","USIMINAS 3","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",31596.776,0.0,1423.0
"2021","02","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",1479.123,0.0,498.0
"2021","03","DP WORLD 3","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",75228.0,0.0,37614.0
"2021","03","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",5957.518,0.0,775.0
"2021","03","DP WORLD 4","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",185504.0,0.0,92752.0
"2021","03","ARM 32","PORTO ORGANIZADO","SUZANO (VCP - ARM 13/14/15)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",1974.0,0.0,987.0
"2021","03","SABOO 4","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",1057.389,0.0,127.0
"2021","03","VALONGO","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",2916.724,0.0,244.0
"2021","03","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",1274.191,0.0,345.0
"2021","03","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",1198.446,0.0,96.0
"2021","03","VALONGO","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",330.497,0.0,62.0
"2021","03","VALONGO","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",1358.56,0.0,1102.0
"2021","04","ARM 30","PORTO ORGANIZADO","NST","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",14846.548,0.0,7379.0
"2021","04","DP WORLD 3","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",116274.0,0.0,58137.0
"2021","04","ARM 32","PORTO ORGANIZADO","SUZANO (ARM 32)","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","CELULOSE",73970.0,0.0,36955.0
"2021","04","ARM 30","PORTO ORGANIZADO","NST","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","AÇÚCAR",41206.49,0.0,1080376.0
"2021","04","VALONGO","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",886.586,0.0,50.0
"2021","04","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","TRANSBORDO","LONGO CURSO","DESEMBARQUE","VEÍCULOS",186.19199999999998,0.0,77.0
"2021","04","BTP 3","PORTO ORGANIZADO","BTP","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",19.84,0.0,1.0
"2021","05","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","VEÍCULOS",1934.509,0.0,1559.0
"2021","05","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",1739.334,0.0,875.0
"2021","05","USIMINAS 2","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","CABOTAGEM","EMBARQUE","OUTRAS MERCADORIAS",3370.96,0.0,196.0
"2021","05","DP WORLD 1","FORA DO PORTO ORGANIZADO","DPWORLD (EMBRAPORT)","CARGA GERAL","TRANSBORDO","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",249.5,0.0,4.0
"2021","05","VALONGO","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",148.183,0.0,91.0
"2021","05","USIMINAS 3","FORA DO PORTO ORGANIZADO","USIMINAS","CARGA GERAL","CONVENCIONAL","CABOTAGEM","DESEMBARQUE","OUTRAS MERCADORIAS",33542.015,0.0,1589.0
"2021","05","VALONGO","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",924.4490000000001,0.0,856.0
"2021","05","SABOO 4","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","DESEMBARQUE","OUTRAS MERCADORIAS",342.523,0.0,20.0
"2021","05","CORTE","PORTO ORGANIZADO","TMV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",11.76,0.0,7.0
"2021","05","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","TRANSBORDO","LONGO CURSO","EMBARQUE","VEÍCULOS",162.766,0.0,70.0
"2021","05","TECON 2","PORTO ORGANIZADO","SANTOS BRASIL","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","OUTRAS MERCADORIAS",132.866,0.0,1.0
"2021","05","SABOO 4","PORTO ORGANIZADO","ECOPORTO","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","PARTES/MOTORES/GERADORES/PÁS EÓL",248.072,0.0,25.0
"2021","06","TEV","PORTO ORGANIZADO","TEV","CARGA GERAL","CONVENCIONAL","LONGO CURSO","EMBARQUE","VEÍCULOS",7015.883,0.0,781.0
